ID Variant;category;name;Brand Name;Basic - Price;In Stock;Track Stock;Track Alert;Track Cost;Cost Amount
97254298;cengkeh;cengkeh pak ayem;Unbranded;1500;1;Yes;Yes;Yes;1000
97254300;cengkeh;cengkeh kambing;Unbranded;1000;80;Yes;Yes;Yes;776
97254304;cengkeh;cengkeh klinting;Unbranded;1500;208;Yes;Yes;Yes;950
97254307;cengkeh;cengkeh anak lanang;Unbranded;5000;3;Yes;Yes;Yes;3500
97254308;cengkeh;cengkeh tugu;Unbranded;1000;152;Yes;Yes;Yes;800
97327556;tembakau rokok;tembakau surya;Unbranded;6500;0;No;No;Yes;3100
97327557;tembakau rokok;tembakau surya;Unbranded;12000;0;No;No;Yes;6200
97332935;tembakau rokok;tembakau surya;Unbranded;55000;0;No;No;Yes;31000
97333458;tembakau taru martani;violin;Unbranded;17000;222;Yes;Yes;Yes;14575
97333495;tembakau taru martani;virgin apel;Unbranded;22000;23;Yes;Yes;Yes;19500
97333514;tembakau taru martani;virgin vanilla;Unbranded;22000;17;Yes;Yes;Yes;18300
97333530;tembakau taru martani;virgin coffe;Unbranded;22000;18;Yes;Yes;Yes;18113
97333569;tembakau taru martani;rolling 18;Unbranded;8000;-184;Yes;Yes;Yes;6000
97333586;tembakau taru martani;royal bourbon;Unbranded;20000;36;Yes;Yes;Yes;17619
97334342;kertas papir;papir bufallo merah;Unbranded;1000;0;No;No;Yes;350
97334343;kertas papir;papir bufallo merah;Unbranded;2000;0;No;No;Yes;1050
97334473;kertas papir;papir bufallo kuning;Unbranded;1000;0;No;No;Yes;350
97334474;kertas papir;papir bufallo kuning;Unbranded;2000;0;No;No;Yes;1050
97334485;kertas papir;papir narayana;Unbranded;500;368;Yes;Yes;Yes;330
97334488;kertas papir;papir djisamu;Unbranded;500;990;Yes;Yes;Yes;330
97334532;kertas papir;papir singapur;Unbranded;500;132;Yes;Yes;Yes;347
97334598;kertas papir;papir htl hitam;Unbranded;3000;2;Yes;Yes;Yes;2100
97334609;kertas papir;papir htl coklat;Unbranded;3000;14;Yes;Yes;Yes;2100
97334645;kertas papir;papir royo biru;Unbranded;4000;106;Yes;Yes;Yes;2700
